Continent,Country,Code,Location,Lat,Long,altitude,Operationaldate,Nlaunches,Heaviest,Highest,Include,Notes
Africa,Congo (Zaire),CD,Shaba,-7.92587,28.52766,907.3,1977–1978,3,,<50 km,1,German OTRAG rockets.[2]
Africa,Egypt,EG,Jabal Hamzah,30.12575,30.60513889,96.7,Late 1950s–present,6,,,1,Al Zafir and Al Kahir SRBMs testing[3][4]
Africa,Libya,LY,Sabha,26.99392,14.46425,436.2,1981–1982,,,50 km,1,German OTRAG rockets.[6]
Africa,South Africa,ZA,Overberg ,-34.60265,20.30248,9.6,1989–1990,,,,1,Launched test mission rockets only.[7]
Antarctica,Antarctica,AQ,McMurdo Station,-77.846323,166.668235,0,,,,,1,
Asia,India,IN,Vikram Sarabhai,8.5314,76.869,-2.7,1962–,>2000,,,1,[12]
Asia,Indonesia,ID,Stasiun Peluncuran,-7.646643,107.689018,6.5,1965–,14+,765 kg,100 km,1,
Asia,Iraq,IQ,Al-Anbar ,32.7822,44.29962,33.5,1989,,,,1,Out of function[16]
Asia,Japan,JP,Akita ,39.57148,140.05785,6.1,1956–1990,81,,343 km,1,
Asia,Maldives,MV,Gan Island,-0.69328,73.15672,594.7,,,,,1,Several rockets of the Kookaburra type were launched from a pad at 0°41 S and 73°9 E[24]
Asia,Pakistan,PK,Sonmiani ,25.19242,66.74881,24.1,1960s –[25],,,,1,Sounding rockets_ missile testing_ for SUPARCO.[26]
Asia,Taiwan,TW,Haiqian,22.1,120.9,-60.2,1988–,,10 000 kg,300 km,1,Science and technology development
Europe,France,FR,Ile du Levant,43.04507,6.47887,-339.5,1948–[citation needed],,,,1,
Europe,Germany,DE,Peenemünde,54.143,13.794,11,1942–1945,>3000,12 500 kg,>100 km,1,V-2 rockets during World War II_ first rocket to reach space 20 June 1944
Europe,Greece,GR,Koroni,36.7698,21.9316,-80.5,1966–1989,371,,114 km,1,
Europe,Iceland,IS,Vik,63.41891,-19.00463,24.1,1964–1965,2,,,1,
Europe,Italy,IT,Salto di Quirra,39.52731,9.63303,52.7,1964–[citation needed],,,,1,
Europe,Norway,NO,Andøya,69.2943,16.0207,118.9,1962–,>1200,800 kg,,1,Rockets to the upper atmosphere.[34]
Europe,Norway,NO,SvalRak,78.2234,15.647,1.5,1997–[citation needed],,,,1,
Europe,Poland,PL,Łeba-Rąbka,54.754486,17.517919,-10.5,1963–1973,36,,,1,Polish rockets
Europe,Spain,ES,El Arenosillo,37.09687,-6.73863,33.1,1966–[citation needed],>500,,,1,
Europe,Sweden,SE,Esrange,67.89342,21.10429,406.1,1972–[citation needed],300,12 400 kg,717 km,1,Operated by SSC.[37] Major programmes: Maxus_ TEXUS_ Maser_ stratospheric balloons.
Europe,United Kingdom,GB,South Uist,57.33,-7.33,6.9,1959–,1 (2015),approx 1300 kg plus payload,,1,First space launch from the UK took place from here in October 2015 as part of At Sea Demonstration 15 . The rocket was an American Terrier-Orion sounding rocket.[39]
North America,Canada,CA,Churchill Rocket Research Range,58.7343,-93.8203,14.3,1954–1998,>3500,,,0,Canadian Army.[43]
North America,Canada,CA,Resolute Bay,74.687,-94.8962,20,1966–1971,17,,,1,National Research Council Canada.[44]
North America,United States,US,Boca Chica,25.996,-97.154,0.9,Under construction,,,,0,Planned SpaceX launch site. Adding it because Im sure if it is not there it will be the first comment when we release this mod.
North America,United States,US,White Sands,32.5646,-106.35908,1206.6,1946–,>7000,,,0,Military and civilian flights. Served as alternate landing site for the space shuttle.[47]
North America,United States,US,Spaceport America,32.88943,-106.99945,1386.9,2006–,8,,,1,Sub-orbital commercial and planned space tourist launches. Operated by the state of New Mexico with Virgin Galactic as the anchor tenant.[51][52][53][54]
Oceania,Australia,AU,Carnarvon,-24.48564,113.40866,-19,1964–1965,12,,120 km,1,
South America,Argentina,AR,Pampa de Achala,-31.5833,-64.8333,1989.9,1961–1962,8,28 kg,25 km,1,First Argentine launch site.
South America,Argentina,AR,CELPA,-30.12737,-66.34082,356.2,1962–1974 / 2011–,100 (approximately),933 kg,550 km,1,Military Launch Test Site (CITIDEF)
South America,Argentina,AR,Mar Chiquita,-37.72427,-57.40512,-1.5,1968–1972,11,,,1,
South America,Brazil,BR,Barreira do Inferno,-5.866,-35.383,36.1,1965–,233,,1100 km,1,
South America,Brazil,BR,Alcântara,-2.316,-44.3676,5.6,1990–,35,6 737 kg,956 km,1,Brazilian Air Force_ Brazilian Space Agency. Planned satellite launches.
South America,Peru,PE,Chilca,-12.50477,-76.79849,5.8,1974-1983,<65,,590 km,1,Sounding rocket launch location.[68]
